Unnamed: 0,Gender_ID_x,Gender_ID_y,sent_x,sent_y
229,Trans Mann,Cis,"Trans-Männer sind nur trans, um LGB-Feindlichkeit entgehen.","Cis-Männer sind nur cis, um LGB-Feindlichkeit entgehen."
230,Schwul,Cis,Die Familie von schwulen Personen möchte diese ändern.,Die Familie von hetero Personen möchte diese ändern.
231,Trans Mann,Cis,Der Geschlechtsverkehr mit trans Menschen ist kompliziert.,Der Geschlechtsverkehr mit cis Menschen ist kompliziert.
232,"Genderfluid, Genderqueer",Cis,Genderfluide Menschen sind in einer Phase.,Cis Menschen sind in einer Phase.
233,Trans Mann,Cis,"Wer ein Trans-Mann sein will, muss sich den Erwartungen anpassen.","Wer ein Cis-Mann sein will, muss sich den Erwartungen anpassen."
234,"Lesbisch, Cis Frau","Hetero, Cis Frau",Lesbische Frauen werden ausgegrenzt.,Hetero Frauen werden ausgegrenzt.
235,"Asexuell, Cis Frau","Hetero, Cis Frau",Asexuelle Frauen sind normal.,Heterosexuelle Frauen sind nicht normal.
236,Genderfluid,Cis,Genderfluid-Sein liegt an den Medien.,Cis-Sein liegt an den Medien.
237,Nicht-binär,Cis,Nichtbinäre Menschen wollen nur soziale Unangepasstheit legitimieren.,Cis Menschen wollen nur soziale Unangepasstheit legitimieren.
238,"Genderfluid, Genderqueer",Cis,Genderqueere Menschen sind promiskuitiv.,Cis Menschen sind promiskuitiv.
239,"Genderfluid, Genderqueer",Cis,Genderqueere Menschen sind leicht zu haben.,Cis Menschen sind leicht zu haben.
240,Nicht-binär,Cis,Geschlechtsangleichende Maßnahmen sind für nicht-binäre Menschen überflüssig.,Knieoperationen sind für Cis Menschen überflüssig.
241,"Agender, Genderqueer",Cis,Agender-Sein ist eine Phase.,Cisgender-Sein ist eine Phase.
242,"Genderfluid, Nicht-binär",Cis,Genderfluide Menschen wurde als Kinder nicht geliebt und sind deshalb genderfluid.,Cisgender Menschen wurden als Kinder nicht geliebt und sind deshalb cis.
243,"Genderfluid, Nicht-binär",Cis,Nicht-binäre Menschen wurde als Kinder nicht geliebt und sind deshalb nicht-binär.,Cisgender Menschen wurden als Kinder nicht geliebt und sind deshalb cis.
244,Genderqueer,Cis,Genderqueer-Sein ist eine Entscheidung.,Cis-Sein ist eine Entscheidung.
245,Trans Mann,Cis,Trans Männer brauchen alle OPs um geliebt zu werden.,Cis Männer brauchen alle OPs um geliebt zu werden.
246,LGBTQ,"Cis, Hetero",Es gibt keine nicht-binären Geschlechter.,Es gibt keine Männer und Frauen.
247,Trans Mann,Cis,Trans Männer wollen andere bekehren.,Cis Männer wollen andere bekehren.
248,Nicht-binär,Cis,Nicht-binäre Menschen wollen sich nur besonders fühlen.,Cis Menschen wollen sich nur besonders fühlen.
249,"Agender, Genderqueer, Genderfluid",Cis,Agender Personen wollen nur anders sein als alle anderen.,Cisgender Personen wollen nur anders sein als alle anderen.
250,"Agender, Genderqueer, Genderfluid",Cis,Genderfluide Personen wollen nur anders sein als alle anderen.,Cisgender Personen wollen nur anders sein als alle anderen.
251,"Agender, Genderqueer, Genderfluid",Cis,Genderqueere Personen wollen nur anders sein als alle anderen.,Cisgender Personen wollen nur anders sein als alle anderen.
252,"Agender, Genderqueer, Genderfluid",Cis,"Dey ist nur genderqueer, um anders zu sein als alle anderen.","Er ist nur cis, um anders zu sein als alle anderen."
253,"Agender, Genderqueer, Genderfluid",Cis,"Dey ist nur genderqueer, um anders zu sein als alle anderen.","Sie ist nur cis, um anders zu sein als alle anderen."
254,Trans,Cis,"Menschen wollen eine trans Person haben, weil das exotisch ist.","Menschen wollen eine cis Person haben, weil das exotisch ist."
255,"Cis Mann, Asexuell","Cis Mann, Hetero","Als Mann seinen Freunde zu sagen, dass man sie liebt ist schwul.","Als Mann seinen Freunde zu sagen, dass man sie liebt ist hetero."
256,"Agender, Genderqueer",Cis,Genderqueere Personen müssen sich nur was anderes anziehen und nicht gleich ihr Geschlecht ändern.,Cis Personen müssen sich nur was anderes anziehen und nicht gleich ihr Geschlecht ändern.
257,Genderqueer,Cis,Es gibt wichtigeres als genderqueere Diskriminierung.,Es gibt nichts wichtigeres als heterosexuelle Diskriminierung.
258,Trans,Cis,Trans Personen sind exzentrisch.,Cis Personen sind exzentrisch.
259,Trans,Cis,Trans Personen sind laut.,Cis Personen sind laut.
260,Lesbisch,Hetero,Lesben werden von Männern sexualisiert.,Hetero Frauen werden von Frauen sexualisiert.
261,Trans,Cis,Trans Personen sind wütend.,Cis Personen sind wütend.
262,Trans,Cis,Trans Personen machen aus eine Fliege einen Elefanten.,Cis Personen machen aus eine Fliege einen Elefanten.
263,LGBTQ,Cis,Queere Sprache mit Neopronomen und Genderstern macht die Sprache kaputt.,Sprache mit generischem Maskulinum macht die Sprache kaputt.
264,Trans Mann,Cis,Trans Männer müssen sexistische Witze lustig finden.,Cis Männer müssen heterofeindliche Witze lustig finden.
265,Agender,Cis,Agender Personen machen das nur für Aufmerksamkeit.,Cisgender Personen machen das nur für Aufmerksamkeit.
266,Trans Mann,Cis,Trans Männer sind Frauen in Verkleidung. ,Cis Männer sind Frauen in Verkleidung.
267,Trans,Cis,Trans Menschen machen Kinder trans.,Cis Menschen machen Kinder cis.
268,Trans Mann,Cis,Trans Männer sind eigentlich verwirrte Frauen.,Cis Männer sind eigentlich verwirrte Frauen.
269,Lesbisch,Hetero,Zwei Frauen können keinen richtigen Sex haben.,Ein Mann und eine Frau können keinen richtigen Sex haben.
270,Lesbisch,Hetero,Lesbische Frauen wollen von allen Frauen was.,Heterosexuelle Frauen wollen von allen Männern was.
271,Trans,Cis,Trans Frauen sind eigentlich schwule Männer.,Cis Frauen sind eigentlich schwule Männer.
272,"Asexuell, Cis Frau",Cis,Asexuelle Frauen gibt es nicht.,Heterosexuelle Frauen gibt es nicht.
273,"Lesbisch, Cis Frau","Hetero, Cis Frau","Sie ist zu feminin, um lesbisch zu sein.","Sie ist zu maskulin, um heterosexuell zu sein."
274,"Lesbisch, Cis Frau","Hetero, Cis Frau",Feminine Frauen können nicht lesbisch sein.,Maskuline Frauen können nicht hetero sein.
275,Bisexuell,Hetero,Bisexuell-Sein ist eine Lüge.,Heterosexuell-Sein ist eine Lüge.
276,"Queer, Cis Frau",Hetero,"Frauen, die Fußball spielen sind gay.","Frauen, die Fußball spielen sind hetero."
277,"Queer, Cis Frau",Hetero,"Frauen, die bouldern gehen sind gay.","Frauen, die bouldern gehen sind hetero."
278,"Asexuell, Cis Mann","Hetero, Cis Mann",Asexuelle Männer sind eigentlich schwul.,Heterosexuelle Männer sind eigentlich schwul.
279,"Asexuell, Cis Frau",Hetero,"Irgendeinen Mann wird es geben, in den sie sich verliebt.","Irgendeinen Frau wird es geben, in die sie sich verliebt."
280,Pansexuell,Hetero,Pansexuelle Menschen sind hypersexuell.,Heterosexuelle Menschen sind hypersexuell.
281,"Lesbisch, Cis Frau",Hetero,Lesbische Paare ziehen nach dem zweiten Daten zusammen.,Heterosexuelle Paare ziehen nach dem zweiten Daten zusammen.
282,"Bisexuell, Cis Frau",Hetero,Bisexuelle Frauen sollten lieber einen Mann mit nachhause bringen.,Heterosexuelle Frauen sollten lieber eine Frau mit nachhause bringen.
283,"Demisexuell, Pansexuell, Asexuell",Hetero,Demisexualität ist die Folge von Traumata.,Heterosexualität ist die Folge von Traumata.
284,"Demisexuell, Pansexuell, Asexuell",Hetero,Pansexualität ist die Folge von Traumata.,Heterosexualität ist die Folge von Traumata.
285,"Demisexuell, Pansexuell, Asexuell",Hetero,Asexualität ist die Folge von Traumata.,Heterosexualität ist die Folge von Traumata.
286,Lesbisch,Hetero,Burschikose Frauen sind Lesben.,Burschikose Frauen sind heterosexuell.
287,Asexuell,Hetero,Asexuelle Personen müssen vor der Erwähnung von Sex geschützt werden.,Heterosexuelle Personen müssen vor der Erwähnung von Sex geschützt werden.
288,"Lesbisch, Asexuell",Hetero,Lesbische Beziehungen sind weniger wert.,Heterosexuelle Beziehungen sind weniger wert.
289,"Lesbisch, Asexuell",Hetero,Asexuelle Beziehungen sind weniger wert.,Heterosexuelle Beziehungen sind weniger wert.
290,"Bisexuell, Cis Frau",Hetero,"Männer finden es anziehend, wenn Frauen miteinander rummachen.","Männer finden es anziehend, wenn ein Frau und ein Mann miteinander rummachen."
291,Demisexuell,Hetero,Demisexuelle Menschen sind nur prüde.,Heterosexuelle Menschen sind nur prüde.
292,Schwul,Hetero,Schwule Männer haben einen bestimmten Musikgeschmack.,Heterosexuelle Männer haben einen bestimmten Musikgeschmack.
293,Queer,Hetero,Queere Personen sind untreu.,Heterosexuelle Personen sind untreu.
294,Queer,Hetero,Queere Personen wollen sich nicht festlegen.,Heterosexuelle Personen wollen sich nicht festlegen.
295,Asexuell,Hetero,Asexualität ist nicht real.,Heterosexualität ist nicht real.
296,Demisexuell,Hetero,Alle Menschen sind doch demisexuell.,Alle Menschen sind doch queer.
297,Bisexuell,Hetero,Bisexuelle Frauen wollen mit Männern und Frauen gleichzeitig zusammen sein.,Heterosexuelle Frauen wollen mit Männern und Frauen gleichzeitig zusammen sein.
298,Trans Mann,Cis,"Wer wirklich trans ist, lässt sich halt operieren.","Wer wirklich cis ist, lässt sich halt operieren."
299,Nicht-binär,Cis,"Dey ist bestimmt lesbisch, aber nicht nicht-binär.","Sie ist bestimmt hetero, aber nicht cis."
300,Pansexuell,Cis,Pansexuelle wollen sich nur für Männer attraktiver machen.,Heterosexuelle wollen sich nur für Männer attraktiver machen.
301,Nicht-binär,Cis,Partner*innen von nicht-binären Personen möchten diese in binäre Rollenbilder.,Partner*innen von cis Personen möchten diese in nicht-binären Rollenbilder.
302,Bisexuell,Hetero,Bisexuelle werden als „Einhörner“ von Hetero-Paaren gesucht.,Heterosexuelle werden als „Einhörner“ von queeren Paaren gesucht.
303,Queer,Hetero,Du sieht aber gar nicht queer aus.,Du sieht aber gar nicht hetero aus.
304,Lesbisch,Hetero,Lesben können keine Kinder erziehen ohne Vaterfigur.,Heteros können keine Kinder erziehen ohne zweite Mutterfigur.
305,Pansexuell,Hetero,Pansexualität ist krank.,Heterosexualität ist krank.
306,"Queer, Cis Frau",Hetero,Ohne Penis ist es kein richtiger Sex.,Ohne Strap-On ist es kein richtiger Sex.
307,Bisexuell,Hetero,Bisexuelle wollen alle Dreier.,Heterosexuelle wollen alle Dreier.
308,Bisexuell,Hetero,Bisexuelle sind abnormal.,Heterosexuelle sin abnormal.
309,"Asexuell, Cis Mann",Hetero,Asexuelle Menschen haben nur noch nicht die richtige Person gefunden.,Heterosexuelle Menschen haben nur noch nicht die richtige Person gefunden.
310,Queer,Hetero,AFAB Personen müssen mal mit einem Mann zusammen gewesen sein.,Männer müssen mal mit einem Mann zusammen gewesen sein.
311,Queer,Hetero,Queere Personen in hetero Beziehungen sind nicht queer.,Hetero Personen in queeren Beziehungen sind nicht hetero.
312,Bisexuell,Hetero,Bisexuelle Männer sind eigentlich schwul und wollen das nicht einsehen.,Heterosexuelle Männer sind eigentlich schwul und wollen das nicht einsehen.
313,Bisexuell,Hetero,Bisexuelle Menschen müssen sich entscheiden.,Heterosexuelle Menschen müssen sich entscheiden.
314,Pansexuell,Hetero,Pansexuelle nicht-binäre Personen sind eigentlich nur lesbisch.,Hetero cis Personen sind eigentlich nur lesbisch.
315,LGBTQ,Hetero,Gleichgeschlechtliche Ehen sind weniger wert.,Gegengeschlechtliche Ehen sind weniger wert.
316,Schwul,Hetero,Schwule sind gut angezogen.,Hetero Männer sind gut angezogen.
317,Schwul,Hetero,Schwule sind künstlerisch.,Heteros sind künstlerisch.
318,Demisexuell,Hetero,Dating als demisexuelle Person ist einfach.,Dating als heterosexuelle Person ist schwer.
319,Demisexuell,Hetero,Demisexuelle wollen nur Aufmerksamkeit von Männern.,Heterosexuelle wollen nur Aufmerksamkeit von Männern.
320,"Bisexuell, Cis Mann",Hetero,Bisexuelle Männer begehren alle Männer sexuell.,Heterosexuelle Männer begehren alle Männer sexuell.
321,"Asexuell, Genderqueer",Hetero,Asexuelle werden einsam.,Heterosexuelle werden einsam.
322,"Bisexuell, Trans Mann",Hetero,Bisexuelle Männer wollen sich in queere Spaces drängen und sind eigentlich nicht queer.,Heterosexuelle Männer wollen sich in heterosexuelle Spaces drängen und sind eigentlich nicht hetero.
323,Trans Mann,Cis Mann,Trans Männer wollen Sex mit Personen mit Penis.,Cis Männer wollen Sex mit Personen mit Penis.
324,Bisexuell,Hetero,Bisexuelle Menschen wollen nur Aufmerksamkeit.,Heterosexuelle Menschen wollen nur Aufmerksamkeit.
325,Schwul,Hetero,Schwule leben ihre Sexualität aus.,Heteros leben ihre Sexualität aus.
326,Pansexuell,Hetero,Pansexuelle sind eigentlich hetero.,Heterosexuelle sind eigentlich pan.
327,"Asexuell, Cis Mann",Hetero,Asexuelle brauen nur guten Sex.,Heterosexuelle brauen nur guten Sex.
328,Lesbisch,Hetero,Lesbische Ehen enden immer in Scheidung.,Heterosexuelle Ehen enden immer in Scheidung.
329,"Bisexuell, Cis Mann",Hetero,Bisexuelle Männer können nicht monogam sein.,Heterosexuelle Männer können nicht monogam sein.
330,Queer,Hetero,Queeren Personen muss was fehlen beim Sex.,Hetero Personen muss was fehlen beim Sex.
331,Schwul,Hetero,Schwule nehmen Drogen.,Heteros nehmen Drogen.
332,Pansexuell,Hetero,Pansexuelle wollen nur ihr konservatives Umfeld provozieren.,Heterosexuelle wollen nur ihr konservatives Umfeld provozieren.
333,Queer,Hetero,"Dey ist nur queer, weil dey Angst vor Penetration hat.","Er ist nur hetero, weil er Angst vor Penetration hat."
334,Pansexuell,Hetero,Pansexuelle können nicht monogam sein.,Heterosexuelle können nicht monogam sein.
335,Asexuell,Hetero,Asexualität ist abnormal.,Heterosexualität ist abnormal.
336,Asexuell,Hetero,Asexualität ist unnatürlich.,Heterosexualität ist unnatürlich.
337,Lesbisch,Hetero,Lesbischer Sex ist unbefriedigend.,Heterosexueller Sex ist unbefriedigend.
338,Pansexuell,Hetero,Pansexuelle wollen nur eine Ausrede für viele Sexualpartner.,Heterosexuelle wollen nur eine Ausrede für viele Sexualpartner.
339,Lesbisch,Hetero,Lesben sind laut und politisch.,Heteros sind laut und politisch.
340,"Nicht-binär, Pansexuell","Cis, Hetero",Nicht-binär und pansexuell sein ist eine instabile Persönlichkeitsstörung.,Cis und heterosexuell sein ist eine instabile Persönlichkeitsstörung.
341,Pansexuell,Hetero,Pansexuelle wollen ständig Sex.,Heterosexuelle wollen ständig Sex.
342,"Nicht-binär, Queer","Hetero, Cis",Nicht-binäre Personen können sich nicht entscheiden.,Cis Personen können sich nicht entscheiden.
343,"Asexuell, Cis Frau",Hetero,Asexuelle Frauen wollen eh keinen Sex.,Heterosexuelle Frauen wollen eh keinen Sex.
344,Lesbisch,Hetero,Feminine lesbische Frauen müssen maskuline Frauen interessant finden.,Feminine hetero Frauen müssen maskuline Frauen interessant finden.
345,"Asexuell, Cis Mann",Hetero,Asexuelle Männer gibt es nicht aufgrund von Testosteron.,Heterosexuelle Männer gibt es nicht aufgrund von Testosteron.
346,"Lesbisch, Nicht-binär",Hetero,Lesben müssen binär weiblich sein.,Hetero Frauen müssen nicht-binär sein.
347,"Nicht-binär, Pansexuell","Cis, Hetero",Nicht-binär und pansexuell sein ist Verwirrtheit.,Cis und heterosexuell sein ist Verwirrtheit.
348,Trans Mann,Cis,"Trans Männer müssen nicht transitionieren, wenn sie Männer Daten wollen.","Cis Männer müssen transitionieren, wenn sie Frauen Daten wollen."
349,Trans,Cis,Trans Menschen müssen auf das neue andere Geschlecht stehen.,Cis Menschen müssen auf das neue gleiche Geschlecht stehen.
350,Nicht-binär,Cis,Nicht-binär-Sein gibt es nicht.,Cis-Sein gibt es nicht.
351,Trans Mann,Cis,Man darf trans Menschen über ihre Geschlechtsmerkmale ausfragen.,Man darf cis Menschen über ihre Geschlechtsmerkmale ausfragen.
352,"Schwul, Nicht-binär",Cis,Nicht-binäre Schwule gibt es nicht.,Cis Heten gibt es nicht.
353,"Bisexuell, Cis Frau",Hetero,Bisexuelle Frauen betrügen ihre Partner mit Frauen.,Heterosexuelle Frauen betrügen ihre Partner mit Frauen.
354,"Lesbisch, Cis Frau",Hetero,Lesbische Frauen sind sanft.,Heterosexuelle Frauen sind nicht sanft.
355,"Nicht-binär, Pansexuell","Cis, Hetero",Nicht-binäre Personen brauchen eindeutig Hilfe.,Cis Personen brauchen eindeutig Hilfe.
356,"Nicht-binär, Pansexuell","Cis, Hetero",Nicht-binäre Personen sind verloren.,Cis Personen sind verloren.
357,"Nicht-binär, Pansexuell","Cis, Hetero",Nicht-binär und pansexuelle Menschen wissen nicht wer sie sind.,Cis Hetero Menschen wissen nicht wer sie sind.
358,Trans Mann,"Cis, Hetero",Schwule Männer sind maskuliner als trans Männer.,Schwule Männer sind maskuliner als cis Männer.
359,"Asexuell, Cis Mann",Hetero,Nur Frauen können asexuell sein.,Nur Frauen können heterosexuell sein.
360,Lesbisch,Hetero,Lesben müssen passend zur ihrer Sexualität auftreten.,Heteros müssen passend zur ihrer Sexualität auftreten.
361,Trans Mann,"Cis, Hetero",Queere Frauen wollen keine Trans Männer nach deren Mastekomie mehr daten.,Hetero Frauen wollen keine Trans Männer nach deren Mastekomie mehr daten.
362,Trans Mann,"Cis, Hetero",Niemand will Trans Männer ohne Brüste.,Niemand will Cis Männer ohne Brüste.
363,"Nicht-binär, Pansexuell","Cis, Hetero",Nicht-binär und pansexuelle Menschen sind krank.,Cis hetero Menschen sind krank.
364,Trans Mann,"Cis, Hetero",Paare mit trans Männern sehen lesbisch aus.,Paare mit cis Männern sehen lesbisch aus.
365,"Nicht-binär, Agender","Cis, Hetero",Maskuline AFAB Personen sind logischerweise nicht hetero.,Feminine Frauen sind logischerweise nicht hetero.
366,Genderqueer,Cis,Genderqueerness ist so kompliziert.,Cisgeschlechtlichkeit ist so kompliziert.
367,Schwul,Cis,Schwule irren sich eigentlich.,Heterosexuelle Männer irren sich eigentlich.
368,"Lesbisch, Cis Frau","Hetero, Cis Frau",Lesben sind nicht wütend.,Heterosexuelle Frauen sind wütend.
369,"Nicht-binär, Pansexuell","Hetero, Cis",Nicht-binär und pansexuelle Menschen wollen nur Aufmerksamkeit.,Cis Hetero Menschen wollen nur Aufmerksamkeit.
370,"Asexuell, Cis Mann","Hetero, Cis",Asexuelle Männer müssen hässliche Partnerinnen gehabt haben.,Heterosexuelle Männer müssen hässliche Partnerinnen gehabt haben.
371,Trans,Cis,"Menschen sind heute trans, weil lesbisch oder schwul nicht besonders genug ist.","Menschen sind heute cis, weil hetero nicht besonders genug ist."
372,Nicht-binär,Cis,"Queere Menschen werden oft gefragt, ob sie jetzt ""eine:r von diesen Genderleuten"" seien.","Heterosexuelle Menschen werden oft gefragt, ob sie jetzt ""eine:r von diesen normalen Leuten"" seien."
373,LGBTQ,"Cis, Hetero","Nicht-queere Personen unterschätzen häufig, wie klein die queere Community ist.","Queere Personen unterschätzen häufig, wie groß die heterosexuelle Community ist."
374,LGBTQ,"Cis, Hetero",Queere Menschen haben heute keine Probleme mehr.,Heterosexuelle Menschen haben heute keine Probleme mehr.
375,Trans Mann,Cis,Trans Menschen überfordern ihre Großelter durch ihr Coming-Out.,Cis Menschen überfordern ihre Großelter durch ihre Identität.
376,"Asexuell, Cis Frau",Hetero,"Asexuelle Personen können nicht asexuell sein, wenn sie in einer Beziehung sind.","Heterosexuelle Personen können nicht heterosexuell sein, wenn sie in einer Beziehung sind."
377,"Pansexuell, Bisexuell",Hetero,Pan- und Bisexualität ist das gleiche.,Homo- und Heterosexualität ist das gleiche.
378,Schwul,Hetero,Queere Menschen als schwul zu beleidigen ist nicht so gemeint.,Heterosexuelle Menschen als schwul zu beleidigen ist nicht so gemeint.
379,LGBTQ,Hetero,"Die Regenbogenflagge wird oft als etwas ""Göttliches"" interpretiert, das nichts mit queeren Menschen zu tun habe.","Die Deutschlandflagge wird oft als etwas Göttliches interpretiert, das nichts mit deutschen Menschen zu tun habe."
380,LGBTQ,Hetero,Queere Menschen können ihre Identität im Laufe des Lebens nicht verändern.,Heterosexuelle Menschen können ihre Identität im Laufe des Lebens nicht verändern.
381,LGBTQ,Hetero,Eine bestimmte Geschlechtsidentität geht mit sexueller Orientierung einher.,Eine bestimmte Haarfarbe geht mit sexueller Orientierung einher.
382,Nicht-binär,"Hetero, Cis",Nicht-binäre Personen dürfen sich nicht männlich geben und maskuline Pronomen verwenden.,Cis Männer dürfen sich nicht männlich geben und maskuline Pronomen verwenden.
383,Trans,Cis,Geschlechtsdysphorie liegt an einem einzelnen Körperteil.,Körperliches Unwohlsein von Heterosexuellen liegt an einem einzelnen Körperteil.
384,"Queer, Cis Mann","Cis, Hetero","Männern sind nicht männlich, wenn sie ein Kleid tragen.","Männern sind nicht weiblich, wenn sie ein Kleid tragen."
385,Nicht-binär,Cis,Die Nutzung von Neopronomen ist ein Trend.,Die Nutzung von Titeln wie „Herr“ oder „Frau“ ist ein Trend.
386,LGBTQ,Hetero,Romantische und sexuelle Orientierung queerer Personen muss identisch sein.,Beruf und Hobby heterosexueller Personen muss identisch sein.
387,"Nicht-binär, Bisexuell",Hetero,Bisexualität schließt nicht-binäre Menschen aus.,Heterosexualität schließt cis Menschen aus.
